"Código","Unidade Territorial","UF","Referência","Famílias beneficiárias do Programa Bolsa Família"
"330010","ANGRA DOS REIS","RJ","01/2010","5504"
"330015","APERIBÉ","RJ","01/2010","532"
"330020","ARARUAMA","RJ","01/2010","7277"
"330022","AREAL","RJ","01/2010","614"
"330023","ARMAÇÃO DOS BÚZIOS","RJ","01/2010","1461"
"330025","ARRAIAL DO CABO","RJ","01/2010","1389"
"330030","BARRA DO PIRAÍ","RJ","01/2010","2891"
"330040","BARRA MANSA","RJ","01/2010","6956"
"330045","BELFORD ROXO","RJ","01/2010","33385"
"330050","BOM JARDIM","RJ","01/2010","1242"
"330060","BOM JESUS DO ITABAPOANA","RJ","01/2010","1988"
"330070","CABO FRIO","RJ","01/2010","10728"
"330080","CACHOEIRAS DE MACACU","RJ","01/2010","4106"
"330090","CAMBUCI","RJ","01/2010","948"
"330093","CARAPEBUS","RJ","01/2010","551"
"330095","COMENDADOR LEVY GASPARIAN","RJ","01/2010","503"
"330100","CAMPOS DOS GOYTACAZES","RJ","01/2010","19629"
"330110","CANTAGALO","RJ","01/2010","1151"
"330115","CARDOSO MOREIRA","RJ","01/2010","940"
"330120","CARMO","RJ","01/2010","978"
"330130","CASIMIRO DE ABREU","RJ","01/2010","1303"
"330140","CONCEIÇÃO DE MACABU","RJ","01/2010","1292"
"330150","CORDEIRO","RJ","01/2010","1081"
"330160","DUAS BARRAS","RJ","01/2010","591"
"330170","DUQUE DE CAXIAS","RJ","01/2010","46799"
"330180","ENGENHEIRO PAULO DE FRONTIN","RJ","01/2010","689"
"330185","GUAPIMIRIM","RJ","01/2010","3467"
"330187","IGUABA GRANDE","RJ","01/2010","1240"
"330190","ITABORAÍ","RJ","01/2010","13964"
"330200","ITAGUAÍ","RJ","01/2010","6288"
"330205","ITALVA","RJ","01/2010","932"
"330210","ITAOCARA","RJ","01/2010","1805"
"330220","ITAPERUNA","RJ","01/2010","4993"
"330225","ITATIAIA","RJ","01/2010","1914"
"330227","JAPERI","RJ","01/2010","8978"
"330230","LAJE DO MURIAÉ","RJ","01/2010","597"
"330240","MACAÉ","RJ","01/2010","7772"
"330245","MACUCO","RJ","01/2010","305"
"330250","MAGÉ","RJ","01/2010","16224"
"330260","MANGARATIBA","RJ","01/2010","2022"
"330270","MARICÁ","RJ","01/2010","5405"
"330280","MENDES","RJ","01/2010","827"
"330285","MESQUITA","RJ","01/2010","8611"
"330290","MIGUEL PEREIRA","RJ","01/2010","1385"
"330300","MIRACEMA","RJ","01/2010","1653"
"330310","NATIVIDADE","RJ","01/2010","922"
"330320","NILÓPOLIS","RJ","01/2010","7407"
"330330","NITERÓI","RJ","01/2010","12294"
"330340","NOVA FRIBURGO","RJ","01/2010","4125"
"330350","NOVA IGUAÇU","RJ","01/2010","49340"
"330360","PARACAMBI","RJ","01/2010","2574"
"330370","PARAÍBA DO SUL","RJ","01/2010","1982"
"330380","PARATY","RJ","01/2010","1424"
"330385","PATY DO ALFERES","RJ","01/2010","2002"
"330390","PETRÓPOLIS","RJ","01/2010","9746"
"330395","PINHEIRAL","RJ","01/2010","1327"
"330400","PIRAÍ","RJ","01/2010","1175"
"330410","PORCIÚNCULA","RJ","01/2010","1262"
"330411","PORTO REAL","RJ","01/2010","815"
"330412","QUATIS","RJ","01/2010","517"
"330414","QUEIMADOS","RJ","01/2010","10082"
"330415","QUISSAMÃ","RJ","01/2010","1056"
"330420","RESENDE","RJ","01/2010","2583"
"330430","RIO BONITO","RJ","01/2010","3238"
"330440","RIO CLARO","RJ","01/2010","1007"
"330450","RIO DAS FLORES","RJ","01/2010","477"
"330452","RIO DAS OSTRAS","RJ","01/2010","3352"
"330455","RIO DE JANEIRO","RJ","01/2010","178282"
"330460","SANTA MARIA MADALENA","RJ","01/2010","682"
"330470","SANTO ANTÔNIO DE PÁDUA","RJ","01/2010","1330"
"330475","SÃO FRANCISCO DE ITABAPOANA","RJ","01/2010","3697"
"330480","SÃO FIDÉLIS","RJ","01/2010","2481"
"330490","SÃO GONÇALO","RJ","01/2010","41182"
"330500","SÃO JOÃO DA BARRA","RJ","01/2010","1962"
"330510","SÃO JOÃO DE MERITI","RJ","01/2010","21966"
"330513","SÃO JOSÉ DE UBÁ","RJ","01/2010","490"
"330515","SÃO JOSÉ DO VALE DO RIO PRETO","RJ","01/2010","1336"
"330520","SÃO PEDRO DA ALDEIA","RJ","01/2010","5553"
"330530","SÃO SEBASTIÃO DO ALTO","RJ","01/2010","698"
"330540","SAPUCAIA","RJ","01/2010","1046"
"330550","SAQUAREMA","RJ","01/2010","4785"
"330555","SEROPÉDICA","RJ","01/2010","5498"
"330560","SILVA JARDIM","RJ","01/2010","2023"
"330570","SUMIDOURO","RJ","01/2010","1197"
"330575","TANGUÁ","RJ","01/2010","2432"
"330580","TERESÓPOLIS","RJ","01/2010","6434"
"330590","TRAJANO DE MORAES","RJ","01/2010","797"
"330600","TRÊS RIOS","RJ","01/2010","3998"
"330610","VALENÇA","RJ","01/2010","4012"
"330615","VARRE-SAI","RJ","01/2010","662"
"330620","VASSOURAS","RJ","01/2010","1969"
"330630","VOLTA REDONDA","RJ","01/2010","9336"
